HMDB	SMILES
HMDB0005367	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0000064	CN(CC(O)=O)C(N)=N
HMDB0000892	CCCCC(O)=O
HMDB0000888	OC(=O)CCCCCCCCCC(O)=O
HMDB0005377	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000472	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O
HMDB0029757	OC1=CC=C(CC#N)C=C1
HMDB0008105	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0000063	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
HMDB0000289	O=C1NC2=C(N1)C(=O)NC(=O)N2
HMDB0001859	CC(=O)NC1=CC=C(O)C=C1
HMDB0001991	CN1C=NC2=C1C(=O)NC(=O)N2
HMDB0001539	N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O
HMDB0013133	CC(C(O)=O)C(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C
HMDB0047770	[H]C(COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0005435	[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0005365	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0005369	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0005403	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0005462	[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0000672	OC(=O)CCCCCCCCCCCCCCC(O)=O
HMDB0002024	OC(=O)CC1=CN=CN1
HMDB0000812	CC(=O)N[C@@H](CC(O)=O)C(O)=O
HMDB0000026	NC(=O)NCCC(O)=O
HMDB0001257	NCCCCNCCCN
HMDB0015371	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
HMDB0029416	CNC(=N)NCCC[C@H](N)C(O)=O
HMDB0000452	CC[C@H](N)C(O)=O
HMDB0010375	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0001276	CC(=O)NCCCNCCCCN
HMDB0005405	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0000216	NC[C@H](O)C1=CC(O)=C(O)C=C1
HMDB0010368	CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0000898	CN1C=NC(CCN)=C1
HMDB0000391	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C
HMDB0000159	N[C@@H](CC1=CC=CC=C1)C(O)=O
HMDB0000884	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O
HMDB0011507	[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN
HMDB0002815	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C
HMDB0002100	CCCCCCCCCCCCCCCC(=O)NCCO
HMDB0042301	[H]C(COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000182	NCCCC[C@H](N)C(O)=O
HMDB0005360	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0000925	C[N+](C)(C)[O-]
HMDB0008270	CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0014611	[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
HMDB0013331	CCCCCCCC\C=C\C=C\CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C
HMDB0000186	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
HMDB0000092	CN(C)CC(O)=O
HMDB0001325	C[N+](C)(C)CCCC[C@H](N)C([O-])=O
HMDB0000852	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C
HMDB0010387	CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C
HMDB0011210	CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0000651	CCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
HMDB0000619	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O
HMDB0061710	CC(C)CCCCCCCCCCCCCCCC(O)=O
HMDB0042104	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCC
HMDB0005356	[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0010411	[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
HMDB0000094	OC(=O)CC(O)(CC(O)=O)C(O)=O
HMDB0000698	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O
HMDB0000932	[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@@H](O)[C@H]2O)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0001046	CN1C(CCC1=O)C1=CN=CC=C1
HMDB0000262	CC1=CNC(=O)NC1=O
HMDB0007102	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0001202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
HMDB0000407	CC(C)C(O)C(O)=O
HMDB0005357	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0000292	O=C1NC2=C(NC=N2)C(=O)N1
HMDB0042466	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC
HMDB0015070	CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
HMDB0005456	[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0006729	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
